,addtime,bId,cabin,depTime,dt_diff_h,flightNumber,invalid,last_cabin,last_price,last_seats,p_d_percent,preTime,price,price_diff,seats
3,1550133596,416000076,W,1550658300,145.75111111111113,WN1161,2,W,186.0,9.0,87.09677419354838,524704,348.0,162.0,9
3,1550133623,416000077,W,1550662500,146.9102777777778,WN2093,2,W,186.0,9.0,87.09677419354838,528877,348.0,162.0,9
2,1550094617,416000078,W,1550624400,147.16194444444446,WN1125,2,W,98.0,9.0,62.244897959183675,529783,159.0,61.0,9
3,1550133597,416000078,W,1550624400,136.33416666666668,WN1125,2,W,159.0,9.0,46.540880503144656,490803,233.0,74.0,9
4,1550179721,416000078,W,1550624400,123.52194444444444,WN1125,2,W,233.0,9.0,-42.48927038626609,444679,134.0,-99.0,9
8,1550482260,416000078,W,1550624400,39.483333333333334,WN1125,2,W,134.0,9.0,85.82089552238806,142140,249.0,115.0,9
3,1550133628,416000079,W,1550636100,139.57555555555555,WN491,2,W,128.0,9.0,4.6875,502472,134.0,6.0,9
7,1550482260,416000079,W,1550636100,42.733333333333334,WN491,2,W,134.0,9.0,85.82089552238806,153840,249.0,115.0,9
5,1550013810,416000080,W,1550647800,176.10833333333332,WN1785,2,W,98.0,3.0,30.612244897959183,633990,128.0,30.0,9
10,1550110028,416000080,W,1550647800,149.38111111111112,WN1785,2,W,128.0,3.0,24.21875,537772,159.0,31.0,5
12,1550133628,416000080,W,1550647800,142.82555555555555,WN1785,2,W,159.0,4.0,3.1446540880503147,514172,164.0,5.0,4
14,1550150765,416000080,W,1550647800,138.06527777777777,WN1785,2,W,164.0,5.0,-18.29268292682927,497035,134.0,-30.0,4
22,1550442345,416000080,W,1550647800,57.07083333333333,WN1785,2,W,134.0,3.0,22.388059701492537,205455,164.0,30.0,3
25,1550482260,416000080,W,1550647800,45.983333333333334,WN1785,2,W,164.0,3.0,51.829268292682926,165540,249.0,85.0,9
3,1550133622,416000081,W,1550622900,135.91055555555556,WN343,2,W,308.0,9.0,79.87012987012987,489278,554.0,246.0,9
3,1550133595,416000082,W,1550613000,133.16805555555555,WN488,2,W,165.0,9.0,69.0909090909091,479405,279.0,114.0,9
3,1550133595,416000083,W,1550617800,134.5013888888889,WN292,2,W,167.0,9.0,67.06586826347305,484205,279.0,112.0,9
3,1550133595,416000084,W,1550631000,138.16805555555555,WN2110,2,W,167.0,9.0,67.06586826347305,497405,279.0,112.0,9
3,1550133595,416000085,W,1550638800,140.33472222222224,WN128,2,W,167.0,9.0,67.06586826347305,505205,279.0,112.0,9
3,1550133596,416000086,W,1550652300,144.08444444444447,WN2005,2,W,167.0,9.0,67.06586826347305,518704,279.0,112.0,9
3,1550133596,416000087,W,1550623500,136.08444444444444,WN714,2,W,188.0,9.0,127.65957446808511,489904,428.0,240.0,9
1,1549995166,416000088,W,1550615400,172.28722222222223,WN404,2,W,324.0,9.0,-15.432098765432098,620234,274.0,-50.0,9
2,1550012256,416000088,W,1550615400,167.54,WN404,2,W,274.0,9.0,-21.8978102189781,603144,214.0,-60.0,3
3,1550019860,416000088,W,1550615400,165.42777777777778,WN404,2,W,214.0,3.0,28.037383177570092,595540,274.0,60.0,9
4,1550050013,416000088,W,1550615400,157.05194444444444,WN404,2,W,274.0,9.0,-21.8978102189781,565387,214.0,-60.0,3
5,1550092241,416000088,W,1550615400,145.32194444444445,WN404,2,W,214.0,3.0,28.037383177570092,523159,274.0,60.0,9
6,1550133623,416000088,W,1550615400,133.82694444444445,WN404,2,W,274.0,9.0,80.2919708029197,481777,494.0,220.0,9
3,1550133596,416000089,W,1550648700,143.08444444444447,WN863,2,W,188.0,9.0,127.65957446808511,515104,428.0,240.0,9
9,1550130612,416000090,W,1550654100,145.41333333333333,WN2214,2,W,184.0,4.0,16.304347826086957,523488,214.0,30.0,3
10,1550133600,416000090,W,1550654100,144.58333333333334,WN2214,2,W,214.0,3.0,75.70093457943925,520500,376.0,162.0,9
3,1550133594,416000091,W,1550618700,134.75166666666667,WN727,2,W,96.0,9.0,72.91666666666667,485106,166.0,70.0,9
3,1550133594,416000092,W,1550630700,138.085,WN1436,2,W,96.0,9.0,72.91666666666667,497106,166.0,70.0,9
3,1550133594,416000093,W,1550642400,141.335,WN546,2,W,96.0,9.0,72.91666666666667,508806,166.0,70.0,9
3,1550133594,416000094,W,1550651700,143.91833333333335,WN555,2,W,119.0,9.0,39.49579831932773,518106,166.0,47.0,9
2,1550094613,416000095,W,1550623200,146.82972222222222,WN1453,2,W,217.0,9.0,5.990783410138249,528587,230.0,13.0,9
3,1550133596,416000095,W,1550623200,136.0011111111111,WN1453,2,W,230.0,9.0,47.82608695652174,489604,340.0,110.0,9
2,1550094614,416000096,W,1550617800,145.32944444444445,WN345,2,W,217.0,9.0,5.990783410138249,523186,230.0,13.0,9
3,1550133622,416000096,W,1550617800,134.49388888888888,WN345,2,W,230.0,9.0,47.82608695652174,484178,340.0,110.0,9
3,1550133598,416000097,W,1550670900,149.25055555555554,WN331,2,W,96.0,9.0,72.91666666666667,537302,166.0,70.0,9
2,1550094613,416000098,W,1550647800,153.66305555555556,WN1993,2,W,217.0,9.0,5.990783410138249,553187,230.0,13.0,9
3,1550133623,416000098,W,1550647800,142.82694444444445,WN1993,2,W,230.0,9.0,47.82608695652174,514177,340.0,110.0,9
2,1550094614,416000099,W,1550631000,148.9961111111111,WN2217,2,W,217.0,9.0,5.990783410138249,536386,230.0,13.0,9
3,1550133622,416000099,W,1550631000,138.16055555555556,WN2217,2,W,230.0,9.0,47.82608695652174,497378,340.0,110.0,9
3,1550133622,416000100,W,1550632200,138.49388888888888,WN1168,2,W,164.0,9.0,34.75609756097561,498578,221.0,57.0,9
3,1550133622,416000101,W,1550648400,142.99388888888888,WN2110,2,W,164.0,9.0,34.75609756097561,514778,221.0,57.0,9
3,1550133622,416000102,W,1550669700,148.91055555555556,WN1108,2,W,164.0,9.0,34.75609756097561,536078,221.0,57.0,9
3,1550133625,416000103,W,1550636700,139.74305555555557,WN2004,2,W,230.0,9.0,47.82608695652174,503075,340.0,110.0,9
4,1550134474,416000103,W,1550636700,139.5072222222222,WN2004,2,W,340.0,9.0,-32.35294117647059,502226,230.0,-110.0,9
5,1550135275,416000103,W,1550636700,139.28472222222223,WN2004,2,W,230.0,9.0,47.82608695652174,501425,340.0,110.0,9
2,1550083489,416000104,W,1550616900,148.16972222222222,WN2330,2,W,102.0,9.0,1.9607843137254901,533411,104.0,2.0,9
3,1550133598,416000104,W,1550616900,134.25055555555556,WN2330,2,W,104.0,9.0,54.80769230769231,483302,161.0,57.0,9
7,1550482690,416000104,W,1550616900,37.28055555555556,WN2330,2,W,161.0,9.0,109.3167701863354,134210,337.0,176.0,9
3,1550133623,416000105,W,1550623200,135.9936111111111,WN1688,2,W,102.0,9.0,202.94117647058823,489577,309.0,207.0,9
7,1550482686,416000105,W,1550623200,39.031666666666666,WN1688,2,W,309.0,9.0,11.974110032362459,140514,346.0,37.0,9
3,1550133625,416000106,W,1550643900,141.74305555555557,WN1562,2,W,230.0,9.0,47.82608695652174,510275,340.0,110.0,9
4,1550134474,416000106,W,1550643900,141.5072222222222,WN1562,2,W,340.0,9.0,-32.35294117647059,509426,230.0,-110.0,9
5,1550135275,416000106,W,1550643900,141.28472222222223,WN1562,2,W,230.0,9.0,47.82608695652174,508625,340.0,110.0,9
2,1549988883,416000107,W,1550662500,187.11583333333334,WN896,2,W,199.0,3.0,15.577889447236181,673617,230.0,31.0,9
4,1550005159,416000107,W,1550662500,182.5947222222222,WN896,2,W,230.0,4.0,10.869565217391305,657341,255.0,25.0,4
5,1550009359,416000107,W,1550662500,181.42805555555555,WN896,2,W,255.0,4.0,14.509803921568627,653141,292.0,37.0,4
7,1550061274,416000107,W,1550662500,167.0072222222222,WN896,2,W,292.0,3.0,16.438356164383563,601226,340.0,48.0,9
8,1550103708,416000107,W,1550662500,155.22,WN896,2,W,340.0,9.0,-25.0,558792,255.0,-85.0,3
9,1550133625,416000107,W,1550662500,146.90972222222223,WN896,2,W,255.0,3.0,33.333333333333336,528875,340.0,85.0,9
10,1550134474,416000107,W,1550662500,146.67388888888888,WN896,2,W,340.0,9.0,-25.0,528026,255.0,-85.0,3
11,1550135275,416000107,W,1550662500,146.45138888888889,WN896,2,W,255.0,3.0,33.333333333333336,527225,340.0,85.0,9
3,1550133625,416000108,W,1550670900,149.24305555555557,WN695,2,W,199.0,9.0,70.85427135678393,537275,340.0,141.0,9
4,1550134474,416000108,W,1550670900,149.0072222222222,WN695,2,W,340.0,9.0,-41.470588235294116,536426,199.0,-141.0,9
5,1550135275,416000108,W,1550670900,148.78472222222223,WN695,2,W,199.0,9.0,70.85427135678393,535625,340.0,141.0,9
3,1550133598,416000109,W,1550635500,139.41722222222222,WN1599,2,W,224.0,9.0,50.44642857142857,501902,337.0,113.0,9
4,1550133623,416000110,W,1550617200,134.32694444444445,WN1953,2,W,127.0,4.0,9.448818897637794,483577,139.0,12.0,9
10,1550483173,416000110,W,1550617200,37.22972222222222,WN1953,2,W,139.0,9.0,5.755395683453237,134027,147.0,8.0,9
5,1550097494,416000111,W,1550661000,156.52944444444444,WN2202,1,W,409.0,3.0,-100.0,563506,0.0,-409.0,0
